"GOout.GO","GOout.p_val"
"GO:0044347",0.248726
"GO:0010120",0.248755
"GO:0010468",0.249063
"GO:0007004",0.249232
"GO:0010540",0.249537
"GO:0008420",0.250017
"GO:0003852",0.250766
"GO:0031072",0.251426
"GO:0015081",0.251553
"GO:0005765",0.251828
"GO:1901575",0.252034
"GO:0009700",0.252231
"GO:0044038",0.252661
"GO:0045272",0.253232
"GO:0008295",0.253246
"GO:0070330",0.25328
"GO:2000114",0.253486
"GO:0006672",0.253534
"GO:0050201",0.25355
"GO:0042352",0.25355
"GO:0005227",0.253552
"GO:0031222",0.254058
"GO:0060236",0.254732
"GO:1900030",0.254851
"GO:0010088",0.254882
"GO:0001731",0.255488
"GO:0030267",0.255532
"GO:0001666",0.256013
"GO:0016756",0.25602
"GO:2000369",0.257252
"GO:0000775",0.25739
"GO:0070476",0.257745
"GO:0005080",0.257857
"GO:0045227",0.257864
"GO:0033358",0.257864
"GO:0090431",0.257991
"GO:0048509",0.258026
"GO:0080122",0.258115
"GO:0101005",0.258715
"GO:0071011",0.258762
"GO:0010508",0.259119
"GO:0006782",0.259485
"GO:0006108",0.259712
"GO:0140326",0.259978
"GO:0055072",0.260083
"GO:0060586",0.260323
"GO:1903648",0.260474
"GO:0016846",0.260599
"GO:0019344",0.260851
"GO:0090436",0.261318
"GO:0008381",0.261353
"GO:0000776",0.261598
"GO:0030008",0.261965
"GO:0050790",0.262024
"GO:0048046",0.262124
"GO:0071028",0.262296
"GO:0017040",0.262695
"GO:0004499",0.264105
"GO:0071294",0.264599
"GO:0010272",0.265376
"GO:0106029",0.265561
"GO:0042277",0.265762
"GO:0010078",0.265885
"GO:0080142",0.265916
"GO:0019789",0.266305
"GO:0080022",0.266421
"GO:0000178",0.26648
"GO:0004067",0.267153
"GO:0014070",0.267184
"GO:0047498",0.267227
"GO:0005732",0.267265
"GO:0048226",0.268037
"GO:0051726",0.26824
"GO:0070176",0.268691
"GO:0055047",0.269075
"GO:0061617",0.269367
"GO:0003951",0.269591
"GO:0019852",0.269647
"GO:0043765",0.269688
"GO:0010112",0.269787
"GO:0007112",0.269836
"GO:0070847",0.269842
"GO:0044087",0.270823
"GO:0005049",0.271182
"GO:0042389",0.271596
"GO:0071453",0.27174
"GO:0018708",0.27191
"GO:0071618",0.271914
"GO:0051176",0.272841
"GO:1902275",0.273117
"GO:0043484",0.273179
"GO:0002098",0.273875
"GO:0004698",0.273974
"GO:0006535",0.274185
"GO:0072598",0.274444
"GO:1904263",0.274495
"GO:0071439",0.274508
"GO:0003724",0.274993
"GO:0000815",0.275036
"GO:0004144",0.275587
"GO:0010439",0.275867
"GO:0016075",0.275891
"GO:0000724",0.275892
"GO:0042286",0.276333
"GO:0034551",0.276646
"GO:0061062",0.276976
"GO:0062055",0.277219
"GO:0007165",0.278211
"GO:0000470",0.278225
"GO:0042349",0.278657
"GO:0003841",0.27872
"GO:0035312",0.27877
"GO:0010024",0.279609
"GO:0006891",0.279893
"GO:0045899",0.279983
"GO:0016881",0.280063
"GO:0005687",0.280297
"GO:0034039",0.280624
"GO:0044571",0.280807
"GO:0005769",0.281075
"GO:0035861",0.281216
"GO:0009908",0.282475
"GO:0009531",0.282487
"GO:0033063",0.2834
"GO:0008134",0.283588
"GO:0003680",0.283748
"GO:0044205",0.284434
"GO:0008962",0.285299
"GO:0051093",0.28582
"GO:2000143",0.286
"GO:0010345",0.286053
"GO:0015035",0.286272
"GO:0046976",0.286378
"GO:0015700",0.286528
"GO:0080110",0.287626
"GO:0006208",0.287963
"GO:0046975",0.288078
"GO:2000022",0.288673
"GO:0051511",0.288984
"GO:0016311",0.289234
"GO:0090227",0.289768
"GO:0061817",0.290104
"GO:0042178",0.290273
"GO:0080107",0.290425
"GO:1902040",0.290508
"GO:0106046",0.290562
"GO:0036529",0.290562
"GO:0043424",0.29061
"GO:0080008",0.290697
"GO:0032509",0.291452
"GO:0002240",0.291719
"GO:0000460",0.291833
"GO:0031087",0.291992
"GO:0016570",0.292048
"GO:0010363",0.292139
"GO:0006824",0.292253
"GO:0071257",0.292497
"GO:0042866",0.292654
"GO:0030378",0.292654
"GO:0009898",0.29267
"GO:0015979",0.292943
"GO:1900426",0.293727
"GO:0071497",0.294567
"GO:0031349",0.295194
"GO:1901642",0.295294
"GO:0019419",0.296414
"GO:0034470",0.29672
"GO:0009440",0.296979
"GO:0032877",0.297146
"GO:0005524",0.297357
"GO:0071004",0.298091
"GO:0010476",0.298393
"GO:0004371",0.298694
"GO:0001006",0.298828
"GO:0071013",0.299201
"GO:0031118",0.30004
"GO:0031120",0.30004
"GO:0005689",0.300129
"GO:0004629",0.300275
"GO:0006597",0.30093
"GO:0048283",0.301126
"GO:0009554",0.301563
"GO:0030119",0.301602
"GO:0046592",0.301816
"GO:0009965",0.302616
"GO:0048476",0.303199
"GO:0048527",0.303719
"GO:0015085",0.304104
"GO:0000028",0.304313
"GO:0010485",0.305223
"GO:2000031",0.305269
"GO:0031307",0.305556
"GO:0031490",0.305735
"GO:0050613",0.30597
"GO:0071323",0.306181
"GO:0009834",0.306278
"GO:0009982",0.306749
"GO:0043414",0.306761
"GO:0050482",0.307709
"GO:0030307",0.308162
"GO:0015462",0.308502
"GO:0048480",0.309032
"GO:0006360",0.309112
"GO:0010364",0.309117
"GO:1901347",0.310113
"GO:0030015",0.310129
"GO:0065002",0.310188
"GO:0051246",0.310215
"GO:0009270",0.310517
"GO:0043085",0.310605
"GO:0009610",0.310778
"GO:0042736",0.310894
"GO:0019674",0.310894
"GO:0009986",0.311377
"GO:0034088",0.311433
"GO:1901407",0.311706
"GO:0006351",0.311745
"GO:0008375",0.311754
"GO:0006621",0.311868
"GO:0006417",0.311882
"GO:0010351",0.312009
"GO:1900384",0.312083
